episode,revenue
0,322920.0
1,350730.0
2,444690.0
3,446940.0
4,394830.0
5,441090.0
6,449460.0
7,372240.0
8,621180.0
9,523170.0
10,455850.0
11,1451861.25
12,517140.0
13,2493877.5
14,356490.0
15,508320.0
16,574200.0
17,502110.0
18,358020.0
19,448380.0
20,424350.0
21,623790.0
22,523170.0
23,425790.0
24,363780.0
25,631620.0
26,510480.0
27,544320.0
28,554130.0
29,570420.0
30,370980.0
31,390960.0
32,423360.0
33,500850.0
34,319860.0
35,500850.0
36,562500.0
37,614340.0
38,2752005.0
39,2641500.0
40,585720.0
41,612540.0
42,345150.0
43,2944500.0
44,3113601.25
45,450450.0
46,1301696.25
47,434340.0
48,503280.0
49,2291305.0
50,358740.0
51,1675500.0
52,484020.0
53,947240.0
54,405000.0
55,476100.0
56,549630.0
57,355050.0
58,367290.0
59,570960.0
60,443790.0
61,623070.0
62,1352017.5
63,443160.0
64,461880.0
65,501030.0
66,335610.0
67,499050.0
68,473040.0
69,568530.0
70,1534398.75
71,600480.0
72,415170.0
73,483120.0
74,449280.0
75,521730.0
76,499410.0
77,504000.0
78,2664090.0
79,463500.0
80,388890.0
81,426960.0
82,452790.0
83,461520.0
84,376380.0
85,578880.0
86,443610.0
87,515970.0
88,923440.0
89,553950.0
90,402570.0
91,390960.0
92,598410.0
93,491670.0
94,549270.0
95,485190.0
96,421470.0
97,0.0
98,570420.0
99,352350.0
100,719652.5
101,3041297.5
102,454590.0
103,3461606.25
104,577080.0
105,698381.25
106,302670.0
107,2428500.0
108,4019225.0
109,2023897.5
110,449100.0
111,574830.0
112,287640.0
113,3579420.0
114,519120.0
115,526770.0
116,591480.0
117,478890.0
118,347670.0
119,461340.0
120,2520560.0
121,354960.0
122,1957200.0
123,301410.0
124,590940.0
125,3978890.0
126,2320825.0
127,462960.0
128,408600.0
129,455940.0
130,477450.0
131,465480.0
132,514170.0
133,258570.0
134,409410.0
135,632340.0
136,415350.0
137,426600.0
138,475560.0
139,438480.0
140,488340.0
141,474750.0
142,523800.0
143,1744435.0
144,383760.0
145,254160.0
146,1990312.5
147,2839760.0
148,329040.0
149,678690.0
150,3291680.0
151,362610.0
152,491040.0
153,651060.0
154,437490.0
155,619920.0
156,2715290.0
157,527040.0
158,403290.0
159,586530.0
160,1845760.0
161,544230.0
162,543510.0
163,3043650.0
164,545220.0
165,448650.0
166,492660.0
167,474570.0
168,690750.0
169,481230.0
170,3525000.0
171,1354878.75
172,459270.0
173,1424171.25
174,3025715.0
175,1596967.5
176,349920.0
177,560880.0
178,416880.0
179,2127825.0
180,406170.0
181,437670.0
182,575640.0
183,371790.0
184,652500.0
185,1009087.5
186,618300.0
187,1064201.25
188,1693500.0
189,409680.0
190,1309683.75
191,931608.75
192,471870.0
193,416250.0
194,1697440.0
195,3104887.5
